127.0.0.1 - - [08/Mar/2024:08:43:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/TitleLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/infoBlack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/todayClass.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/images/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:37 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 163840
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:38 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 2171244
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:43:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:44:58 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:44:58 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:44:59 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:30 +0900] "GET /drawAcademy/signUp HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:30 +0900] "GET /drawAcademy/resources/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:33 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:40 +0900] "POST /drawAcademy/signUpProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:40 +0900] "GET /drawAcademy/? HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:44 +0900] "GET /drawAcademy/signUp HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:47 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:45:57 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:00 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:03 +0900] "POST /drawAcademy/emailCheckResult HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:03 +0900] "POST /drawAcademy/signUpProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:03 +0900] "GET /drawAcademy/? HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:04 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 5537792
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:04 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:10 +0900] "GET /drawAcademy/login HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:10 +0900] "GET /drawAcademy/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:14 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:14 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:15 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 2326528
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:15 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 5783552
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:15 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:26 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:26 +0900] "GET /drawAcademy/resources/images/demitasse%20project.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:26 +0900] "GET /drawAcademy/resources/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:28 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 17506304
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:35 +0900] "GET /drawAcademy/ HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:36 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 2326528
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:36 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 163840
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:36 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:37 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:40 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:43 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:43 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 20652032
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:48 +0900] "GET /drawAcademy/instructors HTTP/1.1" 200 6449
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:48 +0900] "GET /drawAcademy/resources/images/%EA%B0%95%EC%82%AC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%82%AC%EC%A7%84.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:48 +0900] "GET /drawAcademy/resources/images/demitasse3.PNG HTTP/1.1" 200 1298632
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:48 +0900] "GET /drawAcademy/resources/css/instructors.css HTTP/1.1" 200 6018
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:56 +0900] "GET /drawAcademy/class1? HTTP/1.1" 200 9775
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:56 +0900] "GET /drawAcademy/resources/images/demitasse2.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:46:56 +0900] "GET /drawAcademy/resources/css/class1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:01 +0900] "GET /drawAcademy/classpage HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:01 +0900] "GET /drawAcademy/resources/css/classpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:05 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 24076288
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:11 +0900] "GET /drawAcademy/class1 HTTP/1.1" 200 9775
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:18 +0900] "POST /drawAcademy/class1proc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2024:08:47:18 +0900] "GET /drawAcademy/class1 HTTP/1.1" 200 9884
