127.0.0.1 - - [01/Mar/2024:11:59:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/images/TitleLogo.png HTTP/1.1" 200 81209
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/images/infoBlack.png HTTP/1.1" 200 26352
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/images/Map.png HTTP/1.1" 200 194316
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:49 +0900] "GET /drawAcademy/resources/images/todayClass.PNG HTTP/1.1" 200 299748
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:50 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 3915776
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:50 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:57 +0900] "GET /drawAcademy/qboard HTTP/1.1" 200 8387
0:0:0:0:0:0:0:1 - - [01/Mar/2024:11:59:57 +0900] "GET /drawAcademy/resources/css/qboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:00:13 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 15900672
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:03:28 +0900] "GET /drawAcademy/qboard HTTP/1.1" 200 9325
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:51 +0900] "GET /drawAcademy/qboard HTTP/1.1" 200 9325
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/qboard HTTP/1.1" 200 9325
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/css/qboard.css HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:04:57 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:03 +0900] "GET /drawAcademy/qwrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:03 +0900] "GET /drawAcademy/login HTTP/1.1" 200 6651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:03 +0900] "GET /drawAcademy/resources/css/login.css HTTP/1.1" 200 6906
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:06 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:06 +0900] "GET /drawAcademy/login HTTP/1.1" 200 6738
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:09 +0900] "POST /drawAcademy/loginProc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:09 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:09 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [01/Mar/2024:12:05:09 +0900] "GET /drawAcademy/resources/images/TitleLogo.png HTTP/1.1" 200 81209
