127.0.0.1 - - [29/Feb/2024:08:38:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5866
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/TitleLogo.png HTTP/1.1" 200 81209
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/infoBlack.png HTTP/1.1" 200 26352
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:04 +0900] "GET /drawAcademy/resources/images/todayClass.PNG HTTP/1.1" 200 299748
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:05 +0900] "GET /drawAcademy/resources/images/Map.png HTTP/1.1" 200 194316
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:05 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 303104
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:05 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:22 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 16408576
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:33 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:34 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 4710400
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/lg.png HTTP/1.1" 200 28090
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/menu.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/facebookIcon.png HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/youtubeIcon.png HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/instagramIcon.png HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/TitleLogo.png HTTP/1.1" 200 81209
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/infoBlack.png HTTP/1.1" 200 26352
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/todayClass.PNG HTTP/1.1" 200 299748
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/images/Map.png HTTP/1.1" 200 194316
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 253952
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 80654
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:45 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 1515520
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:56 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:56 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 9379840
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:56 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:38:56 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 368640
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:03 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:03 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:17 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:17 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:34 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 11071861
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:39:46 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 782
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:08 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 58368
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:08 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 9101312
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:16 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6738
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:16 +0900] "GET /drawAcademy/resources/images/demitasse%20project.PNG HTTP/1.1" 200 531217
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:16 +0900] "GET /drawAcademy/resources/css/about.css HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:34 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:34 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:44 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:44 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:51 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:51 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:57 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:40:57 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:41:03 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:41:03 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:41:09 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:41:09 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:06 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:06 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:27 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:27 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:38 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:38 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:46 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:46 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:53 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:42:53 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:20 +0900] "GET /drawAcademy/about HTTP/1.1" 200 6738
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:26 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:26 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:27 +0900] "GET /drawAcademy/resources/video/TestHome.MP4 HTTP/1.1" 206 161139
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:37 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:37 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:42 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:42 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:56 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:43:56 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:44:08 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:44:08 +0900] "GET /drawAcademy/resources/css/home.css HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [29/Feb/2024:08:44:21 +0900] "GET /drawAcademy/ HTTP/1.1" 200 6672
